Occupation - unit group4,State2,Number of individuals,"Average taxable income3
$","Median taxable income3
$","Average salary or wage income3 
$","Median salary or wage income3 
$","Average total income3 
$","Median total income3 
$"
5992 Court or legal clerk,ACT,322,"61,671","62,018","14,689","14,356","63,144","63,353"
5992 Court or legal clerk,NSW,"5,137","57,655","52,780","12,745","10,395","59,397","54,610"
5992 Court or legal clerk,NT,104,"59,084","57,426","13,385","12,805","60,420","59,939"
5992 Court or legal clerk,QLD,"2,672","51,105","48,132","10,470","8,626","52,591","49,758"
5992 Court or legal clerk,SA,783,"55,241","50,761","10,501","8,829","56,686","51,740"
5992 Court or legal clerk,TAS,274,"50,422","49,414","10,014","9,093","51,405","50,333"
5992 Court or legal clerk,VIC,"4,454","55,901","51,429","11,985","10,005","57,597","53,394"
5992 Court or legal clerk,WA,"1,287","56,723","52,989","12,684","10,608","58,224","54,552"
5993 Debt collector,ACT,12,"49,865","54,170","11,824","11,754","50,910","56,446"
5993 Debt collector,NSW,"1,557","53,285","52,571","11,648","10,752","55,204","54,648"
5993 Debt collector,NT,7,"72,381","72,596","14,075","10,408","76,287","78,223"
5993 Debt collector,QLD,983,"45,739","45,824","8,502","8,008","46,977","47,416"
5993 Debt collector,SA,262,"52,769","52,945","10,985","10,629","54,068","54,511"
5993 Debt collector,TAS,39,"48,191","54,570","9,371","10,796","49,881","55,496"
5993 Debt collector,VIC,"1,336","47,602","47,641","9,448","8,513","49,087","49,182"
5993 Debt collector,WA,240,"46,708","45,710","9,259","7,943","47,913","46,200"
5994 Human resource clerk,ACT,91,"66,428","64,046","15,606","14,496","67,574","64,336"
5994 Human resource clerk,NSW,"2,243","51,823","49,537","11,351","9,616","53,328","51,029"
5994 Human resource clerk,NT,75,"55,916","56,094","12,327","12,520","57,921","58,049"
5994 Human resource clerk,QLD,"1,232","52,321","51,008","11,074","10,114","53,917","53,193"
5994 Human resource clerk,SA,513,"51,049","45,318","9,797","7,662","52,510","46,760"
5994 Human resource clerk,TAS,161,"51,454","48,321","9,377","8,772","52,800","49,977"
5994 Human resource clerk,VIC,"1,341","50,234","47,594","10,532","8,605","51,773","49,109"
5994 Human resource clerk,WA,702,"56,323","53,729","12,847","11,070","57,797","55,442"
5995 Inspector or regulatory officer,ACT,580,"93,470","88,301","24,920","23,805","95,201","89,810"
5995 Inspector or regulatory officer,NSW,"5,303","80,550","78,033","20,975","20,004","83,301","80,578"
5995 Inspector or regulatory officer,NT,274,"90,122","83,369","25,727","23,039","92,884","86,466"
5995 Inspector or regulatory officer,QLD,"3,167","79,002","76,310","20,606","19,406","81,407","78,674"
5995 Inspector or regulatory officer,SA,"1,140","74,788","72,754","18,375","17,461","76,943","74,973"
5995 Inspector or regulatory officer,TAS,270,"72,195","69,796","17,338","16,240","73,822","70,880"
5995 Inspector or regulatory officer,VIC,"4,060","76,774","75,266","19,861","18,866","79,564","77,919"
5995 Inspector or regulatory officer,WA,"1,903","87,275","81,462","24,078","21,362","89,661","83,668"
"5996 Insurance investigator, loss adjuster or risk surveyor",ACT,9,"48,554","49,033","11,744","10,954","50,295","49,033"
"5996 Insurance investigator, loss adjuster or risk surveyor",NSW,624,"95,397","81,585","26,992","20,610","98,986","85,164"
"5996 Insurance investigator, loss adjuster or risk surveyor",QLD,320,"84,655","71,459","22,764","17,901","88,245","75,513"
"5996 Insurance investigator, loss adjuster or risk surveyor",SA,98,"90,863","79,445","24,324","19,469","96,373","84,466"
"5996 Insurance investigator, loss adjuster or risk surveyor",TAS,22,"63,461","67,354","13,715","13,291","66,765","67,514"
"5996 Insurance investigator, loss adjuster or risk surveyor",VIC,451,"93,668","80,641","26,790","20,894","97,401","83,480"
"5996 Insurance investigator, loss adjuster or risk surveyor",WA,119,"94,402","83,934","27,815","23,520","98,147","88,801"
5997 Library assistant,ACT,135,"43,472","43,484","7,751","6,567","44,112","44,632"
5997 Library assistant,NSW,"1,848","40,121","38,973","6,751","5,636","40,983","39,640"
5997 Library assistant,NT,63,"37,489","33,496","6,329","4,978","38,340","34,320"
5997 Library assistant,QLD,"1,400","40,094","39,746","6,874","5,937","40,921","40,473"
5997 Library assistant,SA,400,"39,331","39,466","6,836","5,860","40,042","40,158"
5997 Library assistant,TAS,103,"40,505","38,221","6,024","5,010","41,114","38,712"
5997 Library assistant,VIC,986,"35,958","34,496","5,884","4,205","36,821","35,106"
5997 Library assistant,WA,510,"36,793","33,978","5,979","4,050","37,825","34,752"
5999 Other miscellaneous clerical or administrative worker,ACT,613,"57,388","51,936","10,378","7,585","59,214","54,633"
5999 Other miscellaneous clerical or administrative worker,NSW,"15,076","50,888","44,424","9,399","7,096","52,439","45,764"
5999 Other miscellaneous clerical or administrative worker,NT,207,"55,043","54,686","11,276","10,046","56,413","55,876"
5999 Other miscellaneous clerical or administrative worker,QLD,"5,644","53,140","46,273","9,306","7,358","54,770","47,652"
5999 Other miscellaneous clerical or administrative worker,SA,"2,559","50,727","45,046","8,160","6,723","52,095","46,543"
5999 Other miscellaneous clerical or administrative worker,TAS,751,"49,223","44,475","8,286","6,833","50,460","45,776"
5999 Other miscellaneous clerical or administrative worker,VIC,"7,843","47,686","40,537","8,192","5,708","49,311","42,081"
5999 Other miscellaneous clerical or administrative worker,WA,"3,406","51,237","45,921","9,382","7,291","52,900","47,134"
"6111 Auctioneer, or stock and station agent",ACT,8,"127,077","136,854","30,478","28,368","131,742","145,125"
"6111 Auctioneer, or stock and station agent",NSW,760,"96,619","69,710","21,016","14,511","100,888","72,954"
"6111 Auctioneer, or stock and station agent",NT,20,"65,397","59,065","17,491","17,003","70,221","66,636"
"6111 Auctioneer, or stock and station agent",QLD,351,"78,023","69,164","21,327","16,716","82,290","72,611"
"6111 Auctioneer, or stock and station agent",SA,209,"82,332","65,533","19,171","14,862","86,683","69,180"
"6111 Auctioneer, or stock and station agent",TAS,43,"70,661","63,868","15,899","14,000","73,879","64,681"
"6111 Auctioneer, or stock and station agent",VIC,522,"77,507","65,346","18,435","14,286","82,080","69,517"
"6111 Auctioneer, or stock and station agent",WA,131,"67,938","60,194","16,787","13,939","70,747","61,676"
6112 Insurance agent or salesperson,ACT,67,"60,929","58,027","13,722","11,215","63,585","60,319"
6112 Insurance agent or salesperson,NSW,"2,829","76,877","57,685","20,016","12,222","79,649","59,886"
6112 Insurance agent or salesperson,NT,69,"55,887","50,882","12,778","10,129","57,894","52,008"
6112 Insurance agent or salesperson,QLD,"1,932","65,095","53,758","14,636","10,862","67,478","55,620"
6112 Insurance agent or salesperson,SA,635,"61,838","53,405","13,874","10,933","64,224","55,401"
6112 Insurance agent or salesperson,TAS,128,"65,301","53,020","14,317","10,633","67,306","53,922"
6112 Insurance agent or salesperson,VIC,"2,281","72,917","58,941","18,197","12,746","75,617","60,757"
6112 Insurance agent or salesperson,WA,780,"76,638","53,943","16,985","10,786","79,015","55,748"
6113 Sales representative,ACT,"1,683","54,828","47,379","12,824","8,555","57,145","49,262"
6113 Sales representative,NSW,"51,006","57,691","49,035","13,641","9,372","60,776","51,519"
6113 Sales representative,NT,"1,003","48,356","46,546","10,407","8,802","50,349","48,499"
6113 Sales representative,QLD,"31,659","53,297","48,002","11,860","8,963","56,112","50,228"
6113 Sales representative,SA,"10,172","51,893","47,919","11,007","8,821","54,515","50,118"
6113 Sales representative,TAS,"2,857","47,045","45,138","8,978","7,731","48,835","46,576"
6113 Sales representative,VIC,"43,941","56,308","48,908","13,084","9,356","59,635","51,513"
6113 Sales representative,WA,"15,194","53,574","47,856","12,088","8,956","55,980","49,747"
6121 Real estate sales agent,ACT,979,"87,109","66,340","23,401","15,756","95,585","72,894"
6121 Real estate sales agent,NSW,"23,195","82,025","53,333","20,159","10,556","89,825","61,194"
6121 Real estate sales agent,NT,521,"63,165","54,967","15,607","12,473","68,997","60,483"
6121 Real estate sales agent,QLD,"16,223","62,974","47,007","15,805","9,148","70,219","52,625"
6121 Real estate sales agent,SA,"3,484","63,005","48,880","15,152","9,399","70,638","55,334"
6121 Real estate sales agent,TAS,"1,076","68,298","51,307","16,634","10,102","75,928","57,403"
6121 Real estate sales agent,VIC,"17,645","80,378","53,647","20,787","11,615","88,919","61,198"
6121 Real estate sales agent,WA,"7,831","66,575","52,491","17,386","11,601","74,512","58,384"
6200 Sales assistant - type not specified,ACT,59,"24,274","18,412","2,656","1,184","24,522","18,843"
6200 Sales assistant - type not specified,NSW,"1,137","25,968","22,696","3,428","1,721","26,676","23,296"
6200 Sales assistant - type not specified,NT,9,"17,194","15,985","1,394",838,"17,272","15,985"
6200 Sales assistant - type not specified,QLD,601,"24,705","21,020","2,972","1,318","25,222","21,513"
6200 Sales assistant - type not specified,SA,309,"25,385","22,354","2,846","1,778","25,840","23,274"
6200 Sales assistant - type not specified,TAS,70,"20,468","20,003","2,853","1,829","21,392","21,448"
6200 Sales assistant - type not specified,VIC,883,"25,433","21,851","3,237","1,352","26,046","22,119"
6200 Sales assistant - type not specified,WA,414,"26,205","23,658","3,486","1,808","26,746","23,989"
6211 Sales assistant - general,ACT,"5,441","30,981","27,167","4,336","2,818","31,647","27,832"
6211 Sales assistant - general,NSW,"104,165","30,573","27,163","4,143","2,706","31,358","27,955"
6211 Sales assistant - general,NT,"2,648","31,727","29,472","5,039","3,645","32,536","30,297"
6211 Sales assistant - general,QLD,"69,948","30,529","28,060","4,013","2,732","31,292","28,783"
6211 Sales assistant - general,SA,"24,440","31,087","28,022","3,946","2,652","31,799","28,693"
6211 Sales assistant - general,TAS,"8,157","30,470","28,757","4,061","2,917","31,123","29,384"
6211 Sales assistant - general,VIC,"90,753","30,599","26,817","3,955","2,533","31,387","27,639"
6211 Sales assistant - general,WA,"35,402","31,165","27,485","4,165","2,699","31,886","28,182"
6212 IT sales assistant,ACT,106,"74,680","39,858","22,376","6,847","77,249","42,065"
6212 IT sales assistant,NSW,"1,692","59,767","44,105","15,425","7,698","62,025","45,469"
6212 IT sales assistant,NT,23,"41,613","41,055","7,305","6,304","43,331","44,079"
6212 IT sales assistant,QLD,849,"44,807","39,834","9,424","6,246","46,473","41,022"
6212 IT sales assistant,SA,269,"43,413","39,160","8,838","6,203","44,792","40,805"
6212 IT sales assistant,TAS,84,"43,436","41,559","7,929","6,284","44,873","42,984"
6212 IT sales assistant,VIC,"1,363","54,413","41,338","13,082","6,916","56,579","42,593"
6212 IT sales assistant,WA,413,"48,068","40,498","10,312","5,938","49,463","41,567"
6213 Motor vehicle and vehicle parts salesperson,ACT,187,"71,165","71,683","19,619","18,572","74,141","74,912"
6213 Motor vehicle and vehicle parts salesperson,NSW,"3,758","76,681","68,905","21,019","17,360","80,839","73,670"
6213 Motor vehicle and vehicle parts salesperson,NT,79,"68,926","68,092","17,538","14,939","71,353","71,324"
6213 Motor vehicle and vehicle parts salesperson,QLD,"2,714","70,206","66,578","18,553","16,282","73,993","70,598"
6213 Motor vehicle and vehicle parts salesperson,SA,848,"68,570","64,256","16,550","14,501","71,652","66,875"
6213 Motor vehicle and vehicle parts salesperson,TAS,246,"65,196","65,218","16,397","14,514","67,710","68,141"
6213 Motor vehicle and vehicle parts salesperson,VIC,"3,263","74,583","68,091","19,683","16,745","78,505","72,507"
6213 Motor vehicle and vehicle parts salesperson,WA,"1,363","82,353","71,446","22,697","18,040","85,293","74,492"
6214 Pharmacy sales assistant,ACT,644,"29,980","26,324","3,948","2,791","30,710","27,053"
6214 Pharmacy sales assistant,NSW,"12,169","31,180","29,034","4,206","3,076","32,109","30,041"
6214 Pharmacy sales assistant,NT,231,"31,270","30,017","4,941","4,082","32,265","31,446"
6214 Pharmacy sales assistant,QLD,"7,447","32,607","31,921","4,385","3,589","33,571","32,835"
6214 Pharmacy sales assistant,SA,"2,899","34,507","32,921","4,391","3,652","35,386","33,740"
6214 Pharmacy sales assistant,TAS,966,"31,779","30,300","3,923","3,009","32,507","30,993"
6214 Pharmacy sales assistant,VIC,"9,164","30,834","28,356","4,013","2,932","31,804","29,324"
6214 Pharmacy sales assistant,WA,"4,225","30,724","28,385","4,190","3,033","31,575","29,373"
6215 Retail supervisor,ACT,380,"58,098","49,949","10,126","8,892","59,703","51,177"
6215 Retail supervisor,NSW,"6,605","53,364","47,469","11,120","8,647","55,455","49,266"
6215 Retail supervisor,NT,234,"54,468","50,110","11,400","9,388","56,211","52,169"
6215 Retail supervisor,QLD,"4,932","49,657","46,307","9,983","8,211","51,420","48,022"
6215 Retail supervisor,SA,"1,750","51,286","47,804","10,299","8,593","52,948","49,330"
6215 Retail supervisor,TAS,601,"49,786","46,742","9,988","8,760","51,382","48,279"
6215 Retail supervisor,VIC,"5,965","52,737","47,715","10,828","8,608","54,864","49,575"
6215 Retail supervisor,WA,"2,336","53,553","47,716","11,110","8,714","55,297","49,378"
6216 Service station attendant,ACT,56,"37,175","35,606","6,537","5,445","38,306","37,263"
6216 Service station attendant,NSW,"1,390","35,176","32,694","5,255","3,912","36,229","33,884"
6216 Service station attendant,NT,66,"37,501","37,349","6,991","5,631","38,489","38,270"
6216 Service station attendant,QLD,"1,228","35,736","35,184","5,164","4,410","36,777","36,128"
6216 Service station attendant,SA,465,"31,898","32,189","4,718","3,973","32,735","33,066"
6216 Service station attendant,TAS,222,"33,017","34,082","4,768","4,363","33,856","35,138"
6216 Service station attendant,VIC,778,"36,885","33,220","5,045","3,952","37,990","34,051"
6216 Service station attendant,WA,476,"36,879","33,592","5,638","4,310","37,762","34,535"
6217 Street vendor or related salesperson,ACT,14,"37,728","39,004","9,061","7,252","42,704","44,083"
6217 Street vendor or related salesperson,NSW,474,"35,242","29,341","7,053","4,378","37,269","30,569"
6217 Street vendor or related salesperson,NT,10,"23,467","13,664","6,968","4,524","32,329","17,077"
6217 Street vendor or related salesperson,QLD,252,"29,314","22,906","5,503","2,633","31,095","24,561"
6217 Street vendor or related salesperson,SA,118,"34,254","27,774","5,645","3,103","35,631","28,990"
6217 Street vendor or related salesperson,TAS,29,"30,276","22,150","4,604","2,397","30,835","22,816"
6217 Street vendor or related salesperson,VIC,411,"28,901","19,593","5,906","2,098","30,991","20,181"
6217 Street vendor or related salesperson,WA,159,"30,834","21,313","6,011","2,184","32,110","22,756"
6219 Other sales assistant or salesperson,ACT,"1,169","32,431","28,271","4,879","3,131","33,062","28,859"
6219 Other sales assistant or salesperson,NSW,"22,646","33,182","29,032","5,128","3,234","34,174","29,903"
6219 Other sales assistant or salesperson,NT,433,"38,148","37,335","6,549","5,302","39,211","38,312"
6219 Other sales assistant or salesperson,QLD,"15,092","33,308","30,310","5,024","3,354","34,280","31,149"
6219 Other sales assistant or salesperson,SA,"5,863","32,689","30,184","4,730","3,230","33,564","31,052"
6219 Other sales assistant or salesperson,TAS,"1,706","34,070","31,129","4,821","3,654","34,889","31,985"
6219 Other sales assistant or salesperson,VIC,"20,133","33,357","28,694","4,870","3,068","34,372","29,582"
6219 Other sales assistant or salesperson,WA,"6,903","35,274","30,205","5,613","3,446","36,158","30,960"
6311 Checkout operator or office cashier,ACT,"2,561","25,331","22,052","3,497","1,964","25,805","22,471"
6311 Checkout operator or office cashier,NSW,"45,552","25,091","22,271","3,115","1,803","25,653","22,831"
6311 Checkout operator or office cashier,NT,"1,329","28,592","24,817","4,444","2,771","29,312","25,537"
6311 Checkout operator or office cashier,QLD,"33,033","24,622","22,034","2,901","1,656","25,111","22,489"
6311 Checkout operator or office cashier,SA,"12,477","25,067","22,848","2,854","1,713","25,560","23,345"
6311 Checkout operator or office cashier,TAS,"3,834","25,233","23,244","3,084","1,786","25,769","23,757"
6311 Checkout operator or office cashier,VIC,"40,384","24,931","22,143","2,914","1,637","25,486","22,694"
